name,listing_url,neighbourhood,latitude,longitude,price,room_type,review_scores_rating
A Real Gem in the Heart of Kits,https://www.airbnb.com/rooms/219261,"Vancouver, British Columbia, Canada",49.2719,-123.15043,210.0,Entire home/apt,4.58
"Stunning views, comfort, location!!",https://www.airbnb.com/rooms/248014,"Vancouver, British Columbia, Canada",49.29103,-123.05782,100.0,Entire home/apt,5.0
Heritage Loft in heart of Gastown,https://www.airbnb.com/rooms/254657,"Vancouver, British Columbia, Canada",49.28375,-123.10383,250.0,Entire home/apt,4.91
Luxury Coach House in Kitsilano,https://www.airbnb.com/rooms/256178,"Vancouver, British Columbia, Canada",49.26293,-123.17143,170.0,Entire home/apt,5.0
FABULOUS Luxury Downtown Vancouver!,https://www.airbnb.com/rooms/258636,,49.27839,-123.12852,99.0,Entire home/apt,4.79
Sunset views - LGBTQ2+ friendly,https://www.airbnb.com/rooms/306178,,49.23273,-123.02747,84.0,Private room,4.95
Close to downtown/shops/restaurants/skytrain,https://www.airbnb.com/rooms/311354,"Vancouver, British Columbia, Canada",49.26328,-123.07086,100.0,Entire home/apt,4.0
Modern Yaletown 1BR | GREAT VIEW + CENTRAL,https://www.airbnb.com/rooms/322824,,49.27608,-123.12452,182.0,Entire home/apt,4.89
Stylish Modern Central Downtown★★★★★★★,https://www.airbnb.com/rooms/359942,"Vancouver, British Columbia, Canada",49.27634,-123.11825,263.0,Private room,4.85
Bright Spacious Bedroom Pvt Bath,https://www.airbnb.com/rooms/377706,"Vancouver, British Columbia, Canada",49.27799,-123.07101,48.0,Private room,4.68
"LARGE PRIVATE ROOM+BATH, KING BED, dedicated entry",https://www.airbnb.com/rooms/415700,"Vancouver, British Columbia, Canada",49.2332,-123.0551,83.0,Private room,4.73
Trendy & Spacious 2 bd Gastown Loft,https://www.airbnb.com/rooms/436032,,49.28211,-123.10453,290.0,Entire home/apt,4.83
Home (Office) Away from Home – Heart of Downtown,https://www.airbnb.com/rooms/448104,"Vancouver, British Columbia, Canada",49.28063,-123.12502,162.0,Entire home/apt,4.88
Beautiful room (s) Vancouver Home,https://www.airbnb.com/rooms/461386,,49.23034,-123.02971,141.0,Private room,4.42
"House in sought-after Sunrise Hastings, Vancouver",https://www.airbnb.com/rooms/464172,,49.28586,-123.05563,231.0,Entire home/apt,4.8
Inspiring Gastown loft with deck + rooftop,https://www.airbnb.com/rooms/475296,,49.28241,-123.10381,350.0,Entire home/apt,4.85
Vancouver One Bedroom,https://www.airbnb.com/rooms/485225,,49.28052,-123.12691,358.0,Entire home/apt,4.0
"Downtown 1Bed+Den, stylish & modern",https://www.airbnb.com/rooms/496298,,49.28062,-123.11815,124.0,Entire home/apt,4.92
Central Modern House with View and 2 Kitchens,https://www.airbnb.com/rooms/498112,"Vancouver, British Columbia, Canada",49.25099,-123.07457,375.0,Entire home/apt,4.7
Modern Architectural lakeside Home On The Park,https://www.airbnb.com/rooms/540348,"Vancouver, British Columbia, Canada",49.25759,-123.06393,500.0,Entire home/apt,4.91
Moments from downtown Vancouver!,https://www.airbnb.com/rooms/544358,,49.27234,-123.01326,145.0,Entire home/apt,4.26
Commercial Dr West Coast Garden Ste,https://www.airbnb.com/rooms/557357,"Vancouver, British Columbia, Canada",49.27917,-123.06246,80.0,Entire home/apt,4.89
Sub-Penthouse with Amazing Views in Heart of City,https://www.airbnb.com/rooms/622217,"Vancouver, British Columbia, Canada",49.27999,-123.1075,556.0,Entire home/apt,4.96
Close to Jericho beach garden level open space.,https://www.airbnb.com/rooms/625396,,49.27066,-123.18291,380.0,Private room,4.76
Quiet Oasis Garden Suite - Steps from the Drive,https://www.airbnb.com/rooms/648026,"Vancouver, British Columbia, Canada",49.26775,-123.06862,84.0,Entire home/apt,4.87
English Bay Hideaway @ Stanley Park,https://www.airbnb.com/rooms/654744,"Vancouver, British Columbia, Canada",49.29178,-123.14175,150.0,Entire home/apt,4.75
1 Bedroom Private Furnished Suite,https://www.airbnb.com/rooms/654763,,49.2506,-123.07175,52.0,Entire home/apt,4.7
Nice room in amazing luxury home near DOWNTOWN+UBC,https://www.airbnb.com/rooms/659986,"Vancouver, British Columbia, Canada",49.24413,-123.11955,96.0,Private room,4.33
Entire cute  condo full of art,https://www.airbnb.com/rooms/703179,"Vancouver, British Columbia, Canada",49.27945,-123.10875,190.0,Entire home/apt,4.8
Luxury Seaview Studio Suite - Westend,https://www.airbnb.com/rooms/713271,,49.28104,-123.13621,135.0,Entire home/apt,4.77
Kitsilano Laneway House - Quiet Neighbourhood,https://www.airbnb.com/rooms/731219,"Vancouver, British Columbia, Canada",49.26026,-123.18195,150.0,Entire home/apt,4.92
English Bay Views,https://www.airbnb.com/rooms/735468,,49.28059,-123.1364,200.0,Entire home/apt,4.63
Kitsilano 2 bdrm Garden Level Suite,https://www.airbnb.com/rooms/755558,"Vancouver, British Columbia, Canada",49.25996,-123.16653,125.0,Entire home/apt,4.86
Very Convenient Mini-suite,https://www.airbnb.com/rooms/763445,,49.24438,-123.04453,62.0,Entire home/apt,4.76
Level | Studio | Lux Amenities Downtown Vancouver,https://www.airbnb.com/rooms/771366,"Vancouver, British Columbia, Canada",49.2794,-123.12181,225.0,Entire home/apt,5.0
Level | Two Bedroom Suite | Lux Amenities Downtown,https://www.airbnb.com/rooms/771380,"Vancouver, British Columbia, Canada",49.27918,-123.12187,375.0,Entire home/apt,4.67
The Garden Quarter in Kitsilano,https://www.airbnb.com/rooms/784153,"Vancouver, British Columbia, Canada",49.26186,-123.17438,92.0,Entire home/apt,4.79
The Nook in Kitsilano,https://www.airbnb.com/rooms/785297,"Vancouver, British Columbia, Canada",49.26355,-123.17326,86.0,Private room,4.89
The Garden Nook in Kitsilano,https://www.airbnb.com/rooms/785752,"Vancouver, British Columbia, Canada",49.26213,-123.17482,134.0,Entire home/apt,5.0
Exellent for International Student,https://www.airbnb.com/rooms/796603,,49.28087,-123.13525,30.0,Shared room,
fully furnished suite near VGH,https://www.airbnb.com/rooms/801222,,49.25804,-123.12119,106.0,Entire home/apt,4.59
