stop_no,stop_name,line_con,Point,boundary
60517,Southbound Main St @ E Broadway,003,"[-123.101128, 49.263326]",Mount Pleasant
60519,Westbound Cornwall Ave @ Maple St,002; N22,"[-123.14993999999999, 49.27258]",Kitsilano
60525,Eastbound Pacific St @ Thurlow St,023,"[-123.13473, 49.278412]",West End
60526,Westbound Beach Ave @ Bidwell St,023,"[-123.142591, 49.284303]",West End
60527,Eastbound Beach Ave @ Bidwell St,023,"[-123.142826, 49.284744]",West End
60528,Eastbound Beach Ave @ Cardero St,023,"[-123.14198300000001, 49.283215999999996]",West End
60529,Westbound Beach Ave @ Cardero St,023,"[-123.1416, 49.283023]",West End
60530,Eastbound Pacific St @ Jervis St,023,"[-123.13798799999999, 49.280513]",West End
60533,Northbound Blanca St @ W 5th Ave,004; 044; 084,"[-123.214932, 49.268423]",West Point Grey
60534,Broadway-City Hall Station @ Bay 6,009,"[-123.117852, 49.263181]",Fairview
60535,Broadway-City Hall Station @ Bay 1,099; N9,"[-123.11658700000001, 49.26315]",Fairview
60540,Westbound Kingsway @ Dumfries St,019; N19,"[-123.073752, 49.249256]",Kensington-Cedar Cottage
60547,Southbound West Blvd @ W 46th Ave,016,"[-123.15586599999999, 49.229631]",Kerrisdale
60551,Northbound Fraser St @ E 56 Ave,008; N8,"[-123.09081499999999, 49.219428]",Sunset
60552,Westbound W Broadway @ Hemlock St,009; N9,"[-123.13488400000001, 49.263652]",Fairview
60553,Eastbound W 6th Ave @ Alder St,084,"[-123.13086899999999, 49.266009999999994]",Fairview
60554,Eastbound E 2nd Ave @ Lorne St,084,"[-123.09941200000002, 49.268312]",Mount Pleasant
60567,Eastbound W Georgia St @ Burrard St,240; 241; 246; 247; 250; 253; 254; 257; N24,"[-123.121679, 49.284667]",West End
60570,Eastbound W 4th Ave @ Blenheim St,004; 007,"[-123.17731599999999, 49.268415000000005]",Kitsilano
60571,Eastbound W 4th Ave @ Balaclava St,004; 007,"[-123.173351, 49.268359000000004]",Kitsilano
60575,Southbound Alma St @ W 10 Ave,007,"[-123.18603799999998, 49.263217]",West Point Grey
60577,Westbound W Georgia St @ Richards St,250; 253; 254,"[-123.115895, 49.281177]",Downtown
60579,Westbound E Broadway @ Quebec,099,"[-123.104155, 49.263084]",Mount Pleasant
60589,Westbound SE Marine Dr @ Prince Edward St,100; N20; N8,"[-123.09898600000001, 49.210898]",Sunset
60592,Northbound Granville St @ Park Dr,010; N10,"[-123.140092, 49.217684999999996]",Marpole
60681,Southbound Knight St @ E 19 Ave,022,"[-123.07613, 49.253194]",Kensington-Cedar Cottage
60709,Southbound Knight St @ E 17 Ave,022,"[-123.076054, 49.255003]",Kensington-Cedar Cottage
60725,Eastbound W Broadway @ Collingwood St,009; 014; N17,"[-123.18142900000001, 49.264225]",Kitsilano
60726,Eastbound W Broadway @ Blenheim St,009; 014; N17,"[-123.17742, 49.264155]",Kitsilano
60727,Eastbound W Broadway St @ Balaclava St,009; 014; N17,"[-123.173572, 49.264095000000005]",Kitsilano
60728,Eastbound W Broadway @ Bayswater St,009; 014; N17,"[-123.170799, 49.264061]",Kitsilano
60745,Dunbar Loop @ Bay 3,041,"[-123.186318, 49.234673]",Dunbar-Southlands
60746,Westbound W 49 Ave @ Yew St,049,"[-123.159273, 49.227274]",Kerrisdale
60818,Rupert Station @ Platform 1,ML,"[-123.03286899999999, 49.260815]",Renfrew-Collingwood
60819,Rupert Station @ Platform 2,ML,"[-123.032821, 49.260733]",Renfrew-Collingwood
60820,Renfrew Station @ Platform 1,ML,"[-123.045374, 49.258942]",Renfrew-Collingwood
60821,Renfrew Station @ Platform 2,ML,"[-123.045348, 49.258877000000005]",Renfrew-Collingwood
60822,Commercial-Broadway Station @ Platform 1,ML,"[-123.068426, 49.26298]",Grandview-Woodland
60823,Commercial-Broadway Station @ Platform 2,ML,"[-123.068491, 49.262912]",Grandview-Woodland
60824,VCC-Clark Station @ Platform 1,ML,"[-123.079049, 49.265873]",Strathcona
60825,VCC-Clark Station @ Platform 2,ML,"[-123.079054, 49.265799]",Strathcona
60826,Burrard Station @ Platform 2,EL,"[-123.11951499999999, 49.285634]",Downtown
60980,Southbound Granville St @ W Georgia St,004; 007; 010; 014; 016; 050,"[-123.117951, 49.28266]",Downtown
60993,Northbound Granville St @ Dunsmuir St,004; 007; 010; 014; 016; 017; 020; 050,"[-123.11654899999999, 49.283460999999996]",Downtown
60996,Northbound Cambie St @ W 45 Ave,015; N15,"[-123.116096, 49.230066]",Oakridge
61027,Broadway-City Hall Station @ Bay 2,015; 017; N15,"[-123.11464, 49.262826000000004]",Mount Pleasant
61031,Westbound W Georgia St @ Granville St,240; 241; 246; 247; N24,"[-123.118524, 49.282879]",Downtown
61039,Olympic Village Station @ Bay 2,084,"[-123.11493600000001, 49.266425]",Fairview
61040,Olympic Village Station @ Bay 1,015; 050; 084,"[-123.115944, 49.266245]",Fairview
61073,Southbound Cambie St @ Robson St,006; 017; N15,"[-123.115404, 49.277999]",Downtown
61074,Southbound Main St @ Powell St,004; 007; 209; 210; 211; 214,"[-123.099733, 49.282699]",Downtown
61088,Eastbound W 16 Ave @ Dunbar St,033,"[-123.184606, 49.257785]",Dunbar-Southlands
61089,Eastbound W 16 Ave @ Blenheim St,033,"[-123.17843400000001, 49.257689]",Dunbar-Southlands
61090,Eastbound W 16 Ave @ Macdonald St,033,"[-123.16791299999998, 49.257525]",Arbutus-Ridge
61091,Eastbound W 16 Ave @ Trafalgar St,033,"[-123.16452, 49.257427]",Kitsilano
61092,Eastbound W 16 Ave @ Vine St,033,"[-123.157508, 49.257290000000005]",Arbutus-Ridge
61093,Eastbound W 16 Ave @ East Blvd,033,"[-123.15198000000001, 49.257203999999994]",Shaughnessy
61094,Eastbound W 16 Ave @ Burrard St,033,"[-123.14636599999999, 49.257121000000005]",Shaughnessy
61095,Eastbound Marpole Ave @ McRae Ave,033,"[-123.137767, 49.257415]",Shaughnessy
61096,Eastbound W 16 Ave @ Oak St,033,"[-123.127706, 49.256969]",Shaughnessy
61097,Eastbound W 16 Ave @ Willow St,033,"[-123.121578, 49.256969]",South Cambie
61099,Eastbound E 29 Ave @ Cambie St,033,"[-123.11456799999999, 49.245108]",Riley Park
61100,Eastbound Midlothian Ave @ Clancy Loranger Way,033,"[-123.108805, 49.242588]",Riley Park
61101,Eastbound E 33 Ave @ Ontario St,033,"[-123.10496599999999, 49.240505]",Riley Park
61103,Eastbound E 33 Ave @ Prince Edward St,033,"[-123.09651299999999, 49.240342999999996]",Riley Park
61104,Eastbound E 33 Ave @ Fraser St,033,"[-123.08981499999999, 49.240241]",Kensington-Cedar Cottage
61105,Eastbound E 33 Ave @ Somerville St,033,"[-123.085349, 49.240204]",Kensington-Cedar Cottage
61106,Eastbound E 33 Ave @ Knight St,033,"[-123.07595800000001, 49.240146]",Kensington-Cedar Cottage
61107,Eastbound E 33 Ave @ Argyle St,033,"[-123.070849, 49.240064000000004]",Kensington-Cedar Cottage
61108,Eastbound E 33 Ave @ Victoria Dr,033,"[-123.06483999999999, 49.239826]",Kensington-Cedar Cottage
61109,Eastbound E 33 Ave @ Nanaimo St,033,"[-123.058302, 49.239712]",Renfrew-Collingwood
61110,Southbound Slocan St @ Kingsway,029; 033,"[-123.053886, 49.240272]",Renfrew-Collingwood
61111,Westbound E 33 Ave @ Nanaimo St,033,"[-123.059192, 49.239843]",Kensington-Cedar Cottage
61112,Westbound E 33 Ave @ Victoria Dr,033,"[-123.064935, 49.240047]",Kensington-Cedar Cottage
61113,Westbound E 33 Ave @ Fleming St,033,"[-123.071802, 49.240204]",Kensington-Cedar Cottage
61114,Westbound E 33 Ave @ Knight St,033,"[-123.076877, 49.240276]",Kensington-Cedar Cottage
61115,Westbound E 33 Ave @ Windsor St,033,"[-123.08524299999999, 49.240328000000005]",Kensington-Cedar Cottage
61116,Westbound E 33 Ave @ Fraser St,033,"[-123.09076499999999, 49.240373]",Riley Park
61117,Westbound E 33 Ave @ Prince Edward St,033,"[-123.09729499999999, 49.240485]",Riley Park
61118,Westbound E 33 Ave @ Main St,033,"[-123.101925, 49.240577]",Riley Park
61119,Westbound E 33 Ave @ Ontario St,033,"[-123.105056, 49.240633]",Riley Park
61120,Westbound Midlothian Ave @ Clancy Loranger Way,033,"[-123.10929099999998, 49.243313]",Riley Park
61121,Westbound W 16 Ave @ Cambie St,033,"[-123.11568, 49.257005]",Fairview
61122,Westbound W 16 Ave @ Heather St,033,"[-123.120455, 49.257062]",Fairview
61124,Westbound W 16 Ave @ Oak St,033,"[-123.12688, 49.257181]",Fairview
61125,Westbound W 15 Ave @ Birch St,033,"[-123.13440600000001, 49.257964]",Fairview
61126,Westbound W 16 Ave @ Granville St,033,"[-123.13936499999998, 49.25714]",Fairview
61127,Westbound W 16 Ave @ Burrard St,033,"[-123.146565, 49.257239]",Kitsilano
61128,Westbound W 16 Ave @ Arbutus St,033,"[-123.15343100000001, 49.257372]",Kitsilano
61129,Westbound W 16 Ave @ Vine St,033,"[-123.15827, 49.257435]",Kitsilano
61130,Westbound W 16 Ave @ Trafalgar St,033,"[-123.16538200000001, 49.257758]",Kitsilano
61131,Westbound W 16 Ave @ Blenheim St,033,"[-123.17844699999999, 49.257961]",Kitsilano
61133,Southbound Trimble St @ Belmont Ave,042,"[-123.205803, 49.273327]",West Point Grey
61134,Westbound E 33 Ave @ Inverness St,033,"[-123.08064499999999, 49.240296]",Kensington-Cedar Cottage
61135,Eastbound E 33 Ave @ Inverness St,033,"[-123.07978700000001, 49.240161]",Kensington-Cedar Cottage
61138,Westbound NW Marine Dr @ W 4th Ave,042,"[-123.200648, 49.268938]",West Point Grey
61143,Bus Stop @ Spanish Banks Loop,042,"[-123.21549399999999, 49.276328]",West Point Grey
61149,Southbound Cambie St @ W 14 Ave,015; N15,"[-123.11519299999999, 49.25846]",Fairview
61150,Eastbound E 33 Ave @ Main St,033,"[-123.101853, 49.240435]",Riley Park
61215,Yaletown-Roundhouse Station @ Bay 2,006,"[-123.121876, 49.274278]",Downtown
61218,Langara-49th Station @ Bay 2,049,"[-123.11603500000001, 49.226178000000004]",Oakridge
61252,Northbound Cambie St @ W 29 Ave,015; 033; N15,"[-123.11525, 49.245537]",Riley Park
61254,Olympic Village Station @ Bay 3,015; 050,"[-123.11605300000001, 49.265937]",Fairview
61281,Oakridge-41st Ave Station  @ Bay 4,R4,"[-123.117599, 49.233712]",South Cambie
61292,Southbound Granville St @ Robson St,004; 007; 010; 014; 016; 050,"[-123.119373, 49.28172]",Downtown
61293,Northbound Granville St @ W Georgia St,004; 007; 010; 014; 016; 017; 020; 050,"[-123.11829099999999, 49.282317]",Downtown
61337,Marine Drive Station @ Bay 1,003; 010; 015; 017; N15; N20; N8,"[-123.116823, 49.209087]",Marpole
61338,Marine Drive Station @ Bay 2,003; 010; 015; 017; 100; N15; N20; N8,"[-123.11611599999999, 49.209383]",Marpole
61360,Southbound Oak St @ W 72 Ave,017,"[-123.13046399999999, 49.205381]",Marpole
61363,Vancouver City Centre Station @ Platform 2,CL,"[-123.118283, 49.282462]",Downtown
61364,Vancouver City Centre Station @ Platform 1,CL,"[-123.11814299999999, 49.282352]",Downtown
61365,Yaletown-Roundhouse Station @ Platform 2,CL,"[-123.122124, 49.274467]",Downtown
61366,Yaletown-Roundhouse Station @ Platform 1,CL,"[-123.12201499999999, 49.274508000000004]",Downtown
61367,Olympic Village Station @ Platform 2,CL,"[-123.115218, 49.266616]",Fairview
61368,Olympic Village Station @ Platform 1,CL,"[-123.115527, 49.266557]",Fairview
61369,Broadway-City Hall Station @ Platform 2,CL,"[-123.114856, 49.262684]",Fairview
61370,Broadway-City Hall Station @ Platform 1,CL,"[-123.11475300000001, 49.262725]",Mount Pleasant
61371,King Edward Station @ Platform 2,CL,"[-123.11571599999999, 49.249186]",South Cambie
61372,King Edward Station @ Platform 1,CL,"[-123.115228, 49.249171999999994]",Riley Park
61373,Oakridge-41st Avenue Station @ Platform 2,CL,"[-123.116422, 49.233746999999994]",South Cambie
61374,Oakridge-41st Avenue Station @ Platform 1,CL,"[-123.116176, 49.233731]",South Cambie
61375,Langara-49th Avenue Station @ Platform 2,CL,"[-123.116752, 49.225743]",Oakridge
61376,Langara-49th Avenue Station @ Platform 1,CL,"[-123.116289, 49.225709]",Oakridge
61377,Marine Drive Station @ Platform 2,CL,"[-123.117078, 49.209661]",Marpole
61378,Marine Drive Station @ Platform 1,CL,"[-123.11692099999999, 49.209663]",Marpole
61393,Waterfront Station Canada Line @ Platform 2,CL,"[-123.11420600000001, 49.285139]",Downtown
61394,Waterfront Station @ Canada Line,CL,"[-123.114139, 49.285092999999996]",Downtown
61453,Westbound W Broadway @ Arbutus St,099,"[-123.154352, 49.263936]",Kitsilano
61503,Eastbound E 41 Ave @ Fraser St,R4,"[-123.090946, 49.232781]",Sunset
61518,Westbound E Pender St @ Main St,007; 019; 022; 209; N19,"[-123.10026299999998, 49.280462]",Downtown
61519,Northbound Seymour St @ Dunsmuir St,004; 007; 010; 014; 016; 017; 020; 050; N10; N15; N17; N19; N20; N24; N35; N8; N9,"[-123.115596, 49.282782]",Downtown
61522,Southbound Howe St @ Davie St,004; 007; 010; 014; 016; 050; N10; N17; N9,"[-123.12703400000001, 49.277974]",Downtown
61554,Eastbound Harrison Dr @ Victoria Dr,020,"[-123.065448, 49.210485999999996]",Victoria-Fraserview
61609,Joyce Station @ Bay 5,041,"[-123.031478, 49.238127]",Renfrew-Collingwood
61616,29th Avenue Station @ Bay 5,016,"[-123.044987, 49.244392]",Renfrew-Collingwood
61645,Southbound Elliott St @ E 54 Ave,029,"[-123.05496299999999, 49.220551]",Victoria-Fraserview
61660,Eastbound W Broadway @ Yew St,099,"[-123.154831, 49.263760999999995]",Kitsilano
61684,Westbound Great Northern Way @ Thornton St,084,"[-123.09471, 49.266906]",Strathcona
61759,Northbound Burrard St @ Comox St,002; 044; N22,"[-123.12643100000001, 49.280758]",Downtown
61800,Victoria Dr @ 54th Avenue Loop,020,"[-123.06568200000001, 49.219851]",Victoria-Fraserview
61809,Eastbound Cornwall Ave @ Trafalgar St,002; N22,"[-123.163937, 49.272658]",Kitsilano
61810,Northbound Smithe St @ Expo Blvd,017; N15,"[-123.114934, 49.276112]",Downtown
61825,Northbound Clarendon St @ E 33 Ave,029,"[-123.055375, 49.23952]",Renfrew-Collingwood
61826,Southbound Clarendon St @ E 33 Ave,029,"[-123.05553799999998, 49.239443]",Renfrew-Collingwood
61917,Westbound W Pender St @ Howe St,N22; N35; N8,"[-123.11543200000001, 49.285131]",Downtown
61930,Westbound Powell St @ Clark Dr,004; 007; 209,"[-123.07646299999999, 49.283161]",Grandview-Woodland
61933,Eastbound Cordova Diversion @ Hawks Ave,004; 007; 209,"[-123.086717, 49.282052]",Strathcona
61954,Westbound W 2nd Ave @ Manitoba St,084,"[-123.106978, 49.269368]",Mount Pleasant
61985,Westbound W 2nd Ave @ Crowe St,084,"[-123.111966, 49.26817]",Mount Pleasant
61990,Eastbound Kingsway @ Gladstone St,019; 025; N19,"[-123.06158500000001, 49.243338]",Kensington-Cedar Cottage
