stop_no,stop_name,line_con,Point,boundary
57944,Waterfront Station Eastbound,WCE,"[-123.11158, 49.286053]",Downtown
57959,Waterfront Station Unload Only,WCE,"[-123.111512, 49.286116]",Downtown
57960,Waterfront Station Northbound,SB,"[-123.111306, 49.286063]",Downtown
57963,Waterfront Station Southbound,SB,"[-123.111403, 49.286137]",Downtown
57964,Waterfront Station @ Platform 2,EL,"[-123.11157800000001, 49.285907]",Downtown
57966,Granville Station @ Platform 2,EL,"[-123.11574399999999, 49.283136]",Downtown
57967,Stadium-Chinatown Station @ Platform 2,EL,"[-123.10921299999998, 49.279178]",Downtown
57968,Main Street-Science World Station @ Platform 2,EL,"[-123.100399, 49.273099]",Downtown
57969,Commercial-Broadway Station @ Platform 4,EL,"[-123.069179, 49.262316999999996]",Grandview-Woodland
57970,Nanaimo Station @ Platform 2,EL,"[-123.055904, 49.248283]",Renfrew-Collingwood
57971,29th Avenue Station @ Platform 2,EL,"[-123.046136, 49.244236]",Renfrew-Collingwood
57972,Joyce-Collingwood Station @ Platform 2,EL,"[-123.031827, 49.238353000000004]",Renfrew-Collingwood
57995,Joyce-Collingwood Station @ Platform 1,EL,"[-123.03175900000001, 49.23843]",Renfrew-Collingwood
57996,29th Avenue Station @ Platform 1,EL,"[-123.04608, 49.24431]",Renfrew-Collingwood
57997,Nanaimo Station @ Platform 1,EL,"[-123.05586799999999, 49.248334]",Renfrew-Collingwood
57998,Commercial-Broadway Station @ Platform 3,EL,"[-123.06907700000001, 49.262311]",Grandview-Woodland
57999,Main Street-Science World Station @ Platform 1,EL,"[-123.10035, 49.273171999999995]",Downtown
58000,Stadium-Chinatown Station @ Platform 1,EL,"[-123.109109, 49.279271]",Downtown
58001,Granville Station @ Platform 1,EL,"[-123.115674, 49.283193]",Downtown
58002,Burrard Station @ Platform 1,EL,"[-123.119598, 49.285579999999996]",Downtown
58003,Waterfront Station @ Platform 1,EL,"[-123.111516, 49.285962]",Downtown
58023,Westbound W 10 Ave @ Sasamat St,009; 014; 099; N17,"[-123.209694, 49.263905]",West Point Grey
58030,Bus Stop @ Pne Coliseum Loop,016,"[-123.043632, 49.285674]",Hastings-Sunrise
58037,Eastbound W Broadway @ Alma St,099,"[-123.184623, 49.264263]",Kitsilano
58042,Kootenay Loop @ Bay 2,160,"[-123.02606200000001, 49.281495]",Hastings-Sunrise
58043,Kootenay Loop @ Bay 4,028; 130,"[-123.02591799999999, 49.281365]",Hastings-Sunrise
58044,Westbound E Broadway @ Lillooet St,009; N9,"[-123.03950400000001, 49.262004]",Hastings-Sunrise
58051,Eastbound Keefer Place @ Taylor St,050,"[-123.105515, 49.279294]",Downtown
58054,Heather Square @ Bay 2,050,"[-123.120135, 49.266296000000004]",Fairview
58065,Northbound Seymour St @ W Georgia St,N10; N9,"[-123.117549, 49.281477]",Downtown
58087,Northbound Commercial Dr @ E 6th Ave,020; N20,"[-123.06959599999999, 49.265331]",Grandview-Woodland
58092,Southbound Commercial Dr @ E 12 Ave,020; N20,"[-123.06995, 49.259177]",Kensington-Cedar Cottage
58093,Southbound Commercial Dr @ E 14 Ave,020; N20,"[-123.06995400000001, 49.257484999999996]",Kensington-Cedar Cottage
58099,Burrard Station @ Bay 5,022; 044,"[-123.11896499999999, 49.285975]",Downtown
58129,Rupert Station @ Bay 2,027,"[-123.033896, 49.260490000000004]",Renfrew-Collingwood
58130,Rupert Station @ Bay 1,027,"[-123.033608, 49.260804]",Renfrew-Collingwood
58133,Northbound Granville St @ W 64 Ave,010; N10,"[-123.14023300000001, 49.213460999999995]",Marpole
58135,Southbound Granville St @ W Broadway,009; 010; 016; N10,"[-123.13870700000001, 49.263073]",Fairview
58136,Southbound Granville St @ W King Edward Ave,010; 025; N10,"[-123.139224, 49.248838]",Shaughnessy
58143,Kootenay Loop @ Bay 8,028; 130; 222; N35; R5,"[-123.024952, 49.281026000000004]",Hastings-Sunrise
58144,Northbound Granville St @ Smithe St,004; 007; 010; 014; 016; 050,"[-123.12053700000001, 49.280784000000004]",Downtown
58145,Westbound Kingsway @ E Broadway,008; 019; N19; N8,"[-123.099681, 49.263296000000004]",Mount Pleasant
58169,Eastbound Keefer Place @ Taylor St,023,"[-123.10575800000001, 49.279326]",Downtown
58183,Eastbound SE Marine Dr @ 2600 Block,100,"[-123.053335, 49.207204]",Killarney
58202,Waterfront Station @ Bay 1,044; R5,"[-123.112372, 49.285803]",Downtown
58235,Southbound Abbott St @ W Pender St,050,"[-123.107725, 49.28074]",Downtown
58239,Westbound W Broadway @ Granville St,099,"[-123.139771, 49.263729999999995]",Fairview
58249,Joyce Station @ Bay 6,026; 027,"[-123.032261, 49.237996]",Renfrew-Collingwood
58254,Eastbound W Georgia St @ Bidwell St,240; 241; 246; 247; 250; 253; 254; N24,"[-123.13183400000001, 49.291212]",West End
58268,Eastbound W 41 Ave @ Oak St,041,"[-123.127728, 49.233818]",Oakridge
58280,Westbound Terminal Ave @ 300 Block,022,"[-123.09663799999998, 49.272363]",Strathcona
58281,Westbound E 49 Ave @ Frontenac St,026; 049,"[-123.026533, 49.222475]",Killarney
58283,Eastbound E Hastings St @ McLean Dr,014; 016; 020; N20; N35,"[-123.073421, 49.281191]",Grandview-Woodland
58284,Northbound Kerr St @ E 54 Ave,026,"[-123.041215, 49.219584999999995]",Killarney
58286,Southbound Cambie St @ W 29 Ave,015; N15,"[-123.11586799999999, 49.245383000000004]",South Cambie
58290,Southbound Nanaimo St @ Grandview Hwy,007,"[-123.056751, 49.257321000000005]",Kensington-Cedar Cottage
58299,Westbound W 4th Ave @ Vine St,004; 007; 014; 044; 084,"[-123.158111, 49.268301]",Kitsilano
58302,Southbound Victoria Dr @ E 38 Ave,020; N20,"[-123.06559299999999, 49.235445]",Kensington-Cedar Cottage
58307,Southbound Main St @ E 18 Ave,003,"[-123.100959, 49.254339]",Riley Park
58312,Northbound Nootka St @ E 29 Ave,016,"[-123.041719, 49.244934]",Renfrew-Collingwood
58313,Northbound Granville St @ W Pender St,004; 007; 010; 014; 016; 017; 020; 050,"[-123.114994, 49.284493]",Downtown
58321,Southbound Howe St @ Dunsmuir St,004; 007; 010; 014; 016; 050,"[-123.11788, 49.284055]",Downtown
58327,Commercial-Broadway Station @ Bay 3,020; N20,"[-123.06963600000002, 49.262699]",Grandview-Woodland
58401,Renfrew Station @ Bay 1,016,"[-123.04443899999998, 49.259029999999996]",Renfrew-Collingwood
58402,Southbound Commercial Dr @ N Grandview Hwy,020; N20,"[-123.069903, 49.263232]",Grandview-Woodland
58491,Northbound Commercial Dr @ N Grandview Hwy,009; 099,"[-123.06958200000001, 49.26342]",Grandview-Woodland
58499,Eastbound E Broadway @ Clark Dr,099,"[-123.076191, 49.262263]",Kensington-Cedar Cottage
58501,Broadway-City Hall Station @ Bay 4,099; N9,"[-123.11652600000001, 49.263349]",Fairview
58502,Westbound W Broadway @ Willow St,099,"[-123.12286, 49.263436999999996]",Fairview
58504,Westbound W Georgia St @ Granville St,250; 253; 254,"[-123.11766100000001, 49.28232]",Downtown
58510,Southbound Main St @ E 5th Ave,008; 019; N19; N8,"[-123.100973, 49.266106]",Mount Pleasant
58529,Eastbound W Pender St @ Abbott St,019; 022; N19,"[-123.106976, 49.280892]",Downtown
58588,Southbound Granville St @ Nanton Ave,010; N10,"[-123.13928899999999, 49.247111]",Shaughnessy
58593,Northbound Granville St @ Drake St,004; 007; 010; 014; 016; 050,"[-123.12709199999999, 49.276487]",Downtown
58613,Westbound E Broadway @ Fraser St,008; 009; 099; N8; N9,"[-123.09008999999999, 49.262593]",Mount Pleasant
58614,Eastbound E Broadway St @ Fraser St,009; 099; N9,"[-123.088379, 49.26236]",Mount Pleasant
58620,Eastbound N Grandview Hwy @ Commercial Dr,099,"[-123.068542, 49.263172]",Grandview-Woodland
58621,Southbound N Grandview Hwy @ E 8th Ave,009,"[-123.067725, 49.262833]",Grandview-Woodland
58647,Westbound SE Marine Dr @ Poplar St,008; N8,"[-123.092844, 49.211133000000004]",Sunset
