name,listing_url,neighbourhood,latitude,longitude,price,room_type,review_scores_rating,entertainment,food
Hotel alternative furnished rooms in B&B North Van,https://www.airbnb.com/rooms/20377,"North Vancouver, British Columbia, Canada",49.30581,-123.06809,249.0,Private room,5.0,0,0
PRIVATE ROOM + BATH + KING BED + dedicated entry,https://www.airbnb.com/rooms/21912,"Vancouver, British Columbia, Canada",49.23361,-123.05283,75.0,Private room,4.7,0,0
PRIVATE  SUITE (KITCHEN+ BEDROOM+BATH+LIVING ROOM),https://www.airbnb.com/rooms/21913,"Vancouver, British Columbia, Canada",49.23442,-123.05307,102.0,Entire home/apt,4.74,0,0
Walker's paradise in Kitsilano,https://www.airbnb.com/rooms/24273,"Vancouver, British Columbia, Canada",49.26216,-123.1715,140.0,Entire home/apt,5.0,0,0
The Alpha Downtown by COMFYSUITES,https://www.airbnb.com/rooms/26047,"Vancouver, British Columbia, Canada",49.28086,-123.12375,160.0,Entire home/apt,4.76,231,1012433
Designer Urban Park View Townhouse,https://www.airbnb.com/rooms/32746,,49.2792,-123.105,127.0,Entire home/apt,4.27,0,229885
“Suite on Main”  near  Q.E Park,https://www.airbnb.com/rooms/33150,"Vancouver, British Columbia, Canada",49.24677,-123.1048,165.0,Entire home/apt,4.98,0,0
FURNISHED 2Br + 2Br Yaletown PRIME location!,https://www.airbnb.com/rooms/35102,"Vancouver, British Columbia, Canada",49.27743,-123.11869,147.0,Entire home/apt,4.72,57,1067638
"Private Quiet Studio in the HEART of ""The Drive""",https://www.airbnb.com/rooms/35304,,49.2729,-123.06973,109.0,Entire home/apt,4.73,0,0
The Charlie Downtown by COMFYSUITES,https://www.airbnb.com/rooms/42645,"Vancouver, British Columbia, Canada",49.28036,-123.1234,169.0,Entire home/apt,4.79,260,1221152
Executive Furnished Apartment (2 months minimum),https://www.airbnb.com/rooms/48146,"Vancouver, British Columbia, Canada",49.23653,-123.02664,110.0,Entire home/apt,,0,0
Boutique Studio Apartment in Kits!,https://www.airbnb.com/rooms/49736,"Vancouver, British Columbia, Canada",49.26778,-123.14674,1950.0,Entire home/apt,4.89,0,0
Yaletown 1 Bedroom Condo,https://www.airbnb.com/rooms/54261,,49.27462,-123.12426,89.0,Entire home/apt,4.85,24,555025
"Open-concept, Modern Heritage Home with over 20 Skylights",https://www.airbnb.com/rooms/70453,"Vancouver, British Columbia, Canada",49.27836,-123.08716,592.0,Entire home/apt,4.94,0,0
Central Convenient Vibrant Neighbourhood!,https://www.airbnb.com/rooms/72659,,49.27345,-123.07031,210.0,Entire home/apt,4.91,0,0
Amazing Downtown Vancouver Condo!,https://www.airbnb.com/rooms/73841,"Vancouver, British Columbia, Canada",49.27591,-123.12359,129.0,Entire home/apt,4.74,61,1176822
Room with a Garden View!,https://www.airbnb.com/rooms/77157,"Vancouver, British Columbia, Canada",49.2452,-123.16544,145.0,Entire home/apt,4.82,0,0
Your Downtown Executive Suite,https://www.airbnb.com/rooms/98830,"Vancouver, British Columbia, Canada",49.27936,-123.12443,135.0,Entire home/apt,4.88,284,1355952
Main Street Vineyard,https://www.airbnb.com/rooms/125176,"Vancouver, British Columbia, Canada",49.24615,-123.09462,105.0,Private room,4.69,0,0
"West view, Transit convenient, clean & comfortable",https://www.airbnb.com/rooms/134688,,49.24356,-123.04757,40.0,Private room,4.59,0,0
"1905 Heritage Loft, Main/Broadway, Olympic Village",https://www.airbnb.com/rooms/140698,"Vancouver, British Columbia, Canada",49.26382,-123.10484,99.0,Entire home/apt,4.84,0,0
Family friendly Point Grey Home,https://www.airbnb.com/rooms/170137,"Vancouver, British Columbia, Canada",49.25757,-123.18966,175.0,Entire home/apt,4.87,0,0
Charming and Homely Downtown Penthouse,https://www.airbnb.com/rooms/172827,"Vancouver, British Columbia, Canada",49.28034,-123.12648,400.0,Entire home/apt,4.86,187,674626
VANCOUVER'S BEST PRIVATE SUITE/LOFT,https://www.airbnb.com/rooms/174135,"Vancouver, British Columbia, Canada",49.27857,-123.0899,90.0,Entire home/apt,4.8,0,0
KITS SUPER CENTRAL DELIGHTFULL APT!,https://www.airbnb.com/rooms/182451,"Vancouver, British Columbia, Canada",49.25808,-123.16824,131.0,Entire home/apt,4.88,0,0
A Real Gem in the Heart of Kits,https://www.airbnb.com/rooms/219261,"Vancouver, British Columbia, Canada",49.2719,-123.15043,210.0,Entire home/apt,4.58,0,0
"Stunning views, comfort, location!!",https://www.airbnb.com/rooms/248014,"Vancouver, British Columbia, Canada",49.29103,-123.05782,100.0,Entire home/apt,5.0,0,0
Heritage Loft in heart of Gastown,https://www.airbnb.com/rooms/254657,"Vancouver, British Columbia, Canada",49.28375,-123.10383,250.0,Entire home/apt,4.91,0,226948
Luxury Coach House in Kitsilano,https://www.airbnb.com/rooms/256178,"Vancouver, British Columbia, Canada",49.26293,-123.17143,170.0,Entire home/apt,5.0,0,0
FABULOUS Luxury Downtown Vancouver!,https://www.airbnb.com/rooms/258636,,49.27839,-123.12852,99.0,Entire home/apt,4.79,52,559214
