name,listing_url,neighbourhood,latitude,longitude,price,room_type,review_scores_rating
comfy stay in clean victorian house,https://www.airbnb.com/rooms/1012385,"Vancouver, British Columbia, Canada",49.25674,-123.0874,120.0,Entire home/apt,4.78
"Light-filled, self-contained studio in Strathcona",https://www.airbnb.com/rooms/1015935,,49.2804,-123.08908,115.0,Entire home/apt,4.8
2 Bdrm in Strathcona,https://www.airbnb.com/rooms/1141457,,49.27925,-123.08814,180.0,Entire home/apt,4.75
Elegant Main floor House Vancouver,https://www.airbnb.com/rooms/1187929,"Vancouver, British Columbia, Canada",49.24965,-123.07027,175.0,Entire home/apt,4.83
Stunning Suite Heart of DT w/Parking and Office,https://www.airbnb.com/rooms/1223989,"Vancouver, British Columbia, Canada",49.27843,-123.12901,135.0,Entire home/apt,4.85
Clean New Kits 3 bedroom/ 2bath!,https://www.airbnb.com/rooms/1291394,"Vancouver, British Columbia, Canada",49.26889,-123.18543,150.0,Entire home/apt,4.9
Private space in heritage home in lovely area,https://www.airbnb.com/rooms/1361276,"Vancouver, British Columbia, Canada",49.25808,-123.07538,150.0,Entire home/apt,4.69
QUIET COZY SUNNY BR (ENSUITE) + ADJ STUDY IN HOUSE,https://www.airbnb.com/rooms/1378220,"Vancouver, British Columbia, Canada",49.26026,-123.20135,122.0,Entire home/apt,4.68
"Luxury 2Bd, 2Offices, amazing views, gym and pool",https://www.airbnb.com/rooms/1393599,"Vancouver, British Columbia, Canada",49.27392665039039,-123.10068941104272,200.0,Entire home/apt,
Stunning 1 Bedroom Laneway,https://www.airbnb.com/rooms/1398788,"Vancouver, British Columbia, Canada",49.23968,-123.16762,134.0,Entire home/apt,4.9
One Bedroom & Secured Underground Parking,https://www.airbnb.com/rooms/1466647,"Vancouver, British Columbia, Canada",49.28164,-123.11006,199.0,Entire home/apt,4.23
244 -2 BEDROOM. WATER VIEW! 6 MONTH EXTENDED STAY,https://www.airbnb.com/rooms/1502887,"Vancouver, British Columbia, Canada",49.29014,-123.12716,129.0,Entire home/apt,4.8
Lakeside Cottage with Stunning View,https://www.airbnb.com/rooms/1610084,"Vancouver, British Columbia, Canada",49.25936,-123.06131,172.0,Entire home/apt,4.87
Beautiful Kitsilano Apartment..,https://www.airbnb.com/rooms/1703616,"Vancouver, British Columbia, Canada",49.26548,-123.14579,156.0,Entire home/apt,4.0
