,name,Longitude,Latitude
101,Northbound Main St @ E 33 Ave,-123.101314,49.241308
102,Northbound Main St @ E 30 Ave,-123.101232,49.243554
103,Northbound Main St @ E 28 Ave,-123.101101,49.245968
104,Northbound Main St @ E King Edward Ave,-123.100891,49.249121
105,Northbound Main St @ E 12 Ave,-123.100888,49.260528
106,Northbound Main St @ E Broadway,-123.100792,49.263233
107,Northbound Main St @ E 6th Ave,-123.100685,49.265339
108,Northbound Main St @ E 5th Ave,-123.100662,49.266719
109,Northbound Main St @ E 2nd Ave,-123.100505,49.269455
110,Northbound Main St @ Industrial Ave,-123.100432,49.270803
111,Main Street-Science World Station @ Bay 2,-123.099831,49.273395
112,Northbound Main St @ National Ave,-123.099748,49.275321
113,Northbound Main St @ E Georgia St,-123.099607,49.278968
114,Westbound E Hastings St @ Main St,-123.1003,49.28144
115,Westbound W Hastings St @ Carrall St,-123.105366,49.281733
116,Westbound W Hastings St @ Abbott St,-123.108043,49.282221
117,Westbound W Hastings St @ Hamilton St,-123.110279,49.283085
118,Southbound Richards St @ W Hastings St,-123.11242,49.283796
119,Southbound Richards St @ Dunsmuir St,-123.115253,49.281944
120,Westbound W 41 Ave @ Oak St,-123.128633,49.234081
121,Westbound W 41 Ave @ Selkirk St,-123.132951,49.234201
122,Westbound W 41 Ave @ Cartier St,-123.137,49.234332
123,Westbound W 41 Ave @ Granville St,-123.139167,49.234391
124,Eastbound W 41 Ave @ Granville St,-123.138484,49.23422
125,Eastbound W 41 Ave @ Selkirk St,-123.132898,49.23404
126,Eastbound W 41 Ave @ Osler St,-123.129836,49.233911
127,Northbound Granville St @ W 38 Ave,-123.139374,49.237418
128,Northbound Granville St @ W 36 Ave,-123.13931,49.239279
129,Northbound Granville St @ W 34 Ave,-123.13924,49.241186
130,Northbound Granville St @ Minto Cres,-123.139178,49.243144
131,Northbound Granville St @ N Connaught Dr,-123.139081,49.245722
132,Northbound Granville St @ Nanton Ave,-123.139023,49.24769
133,Northbound Granville St @ W King Edward Ave,-123.138924,49.250127
134,Northbound Granville St @ Balfour Ave,-123.138834,49.252263
135,Northbound Granville St @ Matthews Ave,-123.138804,49.253467
136,Northbound Granville St @ W 16 Ave,-123.138663,49.257367
137,Northbound Granville St @ W 14 Ave,-123.138595,49.25921
138,Northbound Granville St @ W 12 Ave,-123.13852,49.261157
139,Northbound Granville St @ W 7th Ave,-123.138349,49.265651
140,Northbound Granville St @ W 5th Ave,-123.138259,49.267404
141,Northbound Granville St @ Davie St,-123.125372,49.277584
142,Eastbound E Cordova St @ Main St,-123.099988,49.282229
143,Southbound Main St @ E Hastings St,-123.099812,49.28081
144,Southbound Main St @ Keefer St,-123.099896,49.279029
145,Southbound Main St @ National Ave,-123.100141,49.274506
146,Main Street-Science World Station @ Bay 1,-123.100189,49.273072
147,Southbound Main St @ Switchmen St,-123.100821,49.270621
148,Southbound Main St @ E 5th Ave,-123.100989,49.265849
149,Southbound Main St @ E 12 Ave,-123.10127,49.259888
150,Southbound Main St @ E 14 Ave,-123.101305,49.258082
151,Southbound Main St @ E 16 Ave,-123.101386,49.256251
152,Southbound Main St @ E 20 Ave,-123.101095,49.252395
153,Southbound Main St @ E 22 Ave,-123.101089,49.250676
154,Southbound Main St @ E King Edward Ave,-123.101194,49.248466
155,Southbound Main St @ E 30 Ave,-123.101498,49.243003
156,Southbound Main St @ E 33 Ave,-123.101629,49.240211
157,Southbound Main St @ E 36 Ave,-123.101715,49.23788
158,Eastbound E 41 Ave @ Main St,-123.101913,49.232967
159,Southbound Main St @ E 43 Ave,-123.101591,49.230612
160,Southbound Main St @ E 46 Ave,-123.101625,49.228145
161,Southbound Main St @ E 51 Ave,-123.101804,49.223508
162,Southbound Main St @ E 54 Ave,-123.101949,49.22075
163,Southbound Main St @ E 56 Ave,-123.102003,49.218969
164,Southbound Main St @ E 62 Ave,-123.102217,49.213842
165,Southbound Main St @ E 63 Ave,-123.102245,49.212975
166,Eastbound E 65 Ave @ Main St,-123.101625,49.211695
167,Eastbound University Blvd @ Allison Rd,-123.241849,49.266827
168,Eastbound University Blvd @ 5300 Block,-123.235217,49.265327
169,Eastbound University Blvd @ 5100 Block,-123.229095,49.263486
170,Northbound Blanca St @ W 10 Ave,-123.215067,49.264289
171,Blanca Loop @ Bay 1,-123.21585,49.265243
172,Eastbound W 10 Ave @ Blanca St,-123.214641,49.263836
173,Eastbound W 10 Ave @ Tolmie St,-123.211737,49.26381
174,Eastbound W 10 Ave @ Sasamat St,-123.208525,49.263764
175,Eastbound W 10 Ave @ Trimble St,-123.205581,49.263689
176,Eastbound W 10 Ave @ Discovery St,-123.202595,49.263657
177,Eastbound W 10 Ave @ Courtenay St,-123.199436,49.263605
178,Eastbound W 10 Ave @ Camosun St,-123.196532,49.263564
179,Eastbound W 10 Ave @ Crown St,-123.193422,49.263526
180,Eastbound W 10 Ave @ Wallace St,-123.190678,49.263472
181,Eastbound W 10 Ave @ Highbury St,-123.187456,49.263434
182,Westbound W 41 Ave @ Granville St,-123.140514,49.234426
183,Westbound W 41 Ave @ Marguerite St,-123.145101,49.234499
184,Westbound W 41 Ave @ Angus Dr,-123.148146,49.234547
185,Westbound W 41 Ave @ Maple St,-123.152449,49.234633
186,Westbound W 41 Ave @ Vine St,-123.160343,49.234721
187,Westbound W 41 Ave @ Larch St,-123.163165,49.234767
188,Westbound W 41 Ave @ Macdonald St,-123.167912,49.23481
189,Westbound W 41 Ave @ Mackenzie St,-123.170795,49.234819
190,Westbound W 41 Ave @ Carnarvon St,-123.173542,49.23482
191,Westbound W 41 Ave @ Blenheim St,-123.179103,49.234831
192,Westbound W 41 Ave @ Collingwood St,-123.182546,49.234836
193,Dunbar Loop @ Bay 6,-123.185234,49.235129
194,Northbound Dunbar St @ W 39 Ave,-123.185216,49.236747
195,Northbound Dunbar St @ W 38 Ave,-123.185183,49.238112
196,Northbound Dunbar St @ W 36 Ave,-123.185157,49.239851
197,Northbound Dunbar St @ W 34 Ave,-123.185172,49.241702
198,Northbound Dunbar St @ W 31 Ave,-123.185135,49.244597
199,Northbound Dunbar St @ W 30 Ave,-123.185125,49.245532
200,Northbound Dunbar St @ W 28 Ave,-123.185094,49.247382
201,Northbound Dunbar St @ W King Edward Ave,-123.185062,49.250494
202,Northbound Dunbar St @ W 22 Ave,-123.18504,49.253177
203,Northbound Dunbar St @ W 18 Ave,-123.185003,49.256755
204,Northbound Dunbar Diversion @ W 14 Ave,-123.184213,49.260126
205,Northbound Alma St @ W 12 Ave,-123.185815,49.261926
206,Northbound Alma St @ W 10 Ave,-123.185744,49.263872
207,Eastbound W Broadway @ Alma St,-123.185239,49.264278
208,Eastbound W Broadway @ Macdonald St,-123.167357,49.263995
209,Eastbound W Broadway @ Trafalgar St,-123.164293,49.263906
210,Eastbound W Broadway @ Larch St,-123.16196,49.263904
211,Eastbound W Broadway @ Vine St,-123.157195,49.263809
212,Eastbound W Broadway @ Arbutus St,-123.154253,49.263766
213,Eastbound W Broadway @ Burrard St,-123.145163,49.263611
