,stop_no,stop_name,line_con,Longitude,Latitude
145,50232,Southbound Main St @ National Ave,003; 008; 019; 022; N19; N8,-123.100141,49.274506
146,50233,Main Street-Science World Station @ Bay 1,003; 008; 019; 023; N19; N8,-123.100189,49.273072
147,50234,Southbound Main St @ Switchmen St,003; 008; 019; N19; N8,-123.100821,49.270621
148,50236,Southbound Main St @ E 5th Ave,003,-123.100989,49.265849
149,50240,Southbound Main St @ E 12 Ave,003,-123.10127,49.259888
150,50241,Southbound Main St @ E 14 Ave,003,-123.101305,49.258082
151,50242,Southbound Main St @ E 16 Ave,003,-123.101386,49.256251
152,50244,Southbound Main St @ E 20 Ave,003,-123.101095,49.252395
153,50245,Southbound Main St @ E 22 Ave,003,-123.101089,49.250676
154,50246,Southbound Main St @ E King Edward Ave,003,-123.101194,49.248466
155,50248,Southbound Main St @ E 30 Ave,003,-123.101498,49.243003
156,50249,Southbound Main St @ E 33 Ave,003,-123.101629,49.240211
157,50250,Southbound Main St @ E 36 Ave,003,-123.101715,49.23788
158,50253,Eastbound E 41 Ave @ Main St,R4,-123.101913,49.232967
159,50255,Southbound Main St @ E 43 Ave,003,-123.101591,49.230612
160,50256,Southbound Main St @ E 46 Ave,003,-123.101625,49.228145
161,50258,Southbound Main St @ E 51 Ave,003,-123.101804,49.223508
162,50259,Southbound Main St @ E 54 Ave,003,-123.101949,49.22075
163,50260,Southbound Main St @ E 56 Ave,003,-123.102003,49.218969
164,50263,Southbound Main St @ E 62 Ave,003,-123.102217,49.213842
165,50264,Southbound Main St @ E 63 Ave,003,-123.102245,49.212975
166,50265,Eastbound E 65 Ave @ Main St,003,-123.101625,49.211695
167,50268,Eastbound University Blvd @ Allison Rd,004; 009; 014; 099; N17,-123.241849,49.266827
168,50270,Eastbound University Blvd @ 5300 Block,004; 009; 014; N17,-123.235217,49.265327
169,50271,Eastbound University Blvd @ 5100 Block,004; 009; 014; N17,-123.229095,49.263486
170,50272,Northbound Blanca St @ W 10 Ave,004,-123.215067,49.264289
171,50273,Blanca Loop @ Bay 1,004; 014,-123.21585,49.265243
172,50274,Eastbound W 10 Ave @ Blanca St,009; 014; N17,-123.214641,49.263836
173,50275,Eastbound W 10 Ave @ Tolmie St,009; 014; N17,-123.211737,49.26381
174,50276,Eastbound W 10 Ave @ Sasamat St,009; 014; 099; N17,-123.208525,49.263764
175,50277,Eastbound W 10 Ave @ Trimble St,009; 014; N17,-123.205581,49.263689
176,50278,Eastbound W 10 Ave @ Discovery St,009; 014; N17,-123.202595,49.263657
177,50279,Eastbound W 10 Ave @ Courtenay St,009; 014; N17,-123.199436,49.263605
178,50280,Eastbound W 10 Ave @ Camosun St,009; 014; N17,-123.196532,49.263564
179,50281,Eastbound W 10 Ave @ Crown St,009; 014; N17,-123.193422,49.263526
180,50282,Eastbound W 10 Ave @ Wallace St,009; 014; N17,-123.190678,49.263472
181,50283,Eastbound W 10 Ave @ Highbury St,009; 014; N17,-123.187456,49.263434
182,50284,Westbound W 41 Ave @ Granville St,R4,-123.140514,49.234426
183,50285,Westbound W 41 Ave @ Marguerite St,041,-123.145101,49.234499
184,50286,Westbound W 41 Ave @ Angus Dr,041,-123.148146,49.234547
185,50288,Westbound W 41 Ave @ Maple St,041,-123.152449,49.234633
186,50290,Westbound W 41 Ave @ Vine St,041,-123.160343,49.234721
187,50291,Westbound W 41 Ave @ Larch St,041,-123.163165,49.234767
188,50292,Westbound W 41 Ave @ Macdonald St,041,-123.167912,49.23481
189,50293,Westbound W 41 Ave @ Mackenzie St,002; 041; N22,-123.170795,49.234819
190,50294,Westbound W 41 Ave @ Carnarvon St,R4,-123.173542,49.23482
191,50296,Westbound W 41 Ave @ Blenheim St,002; 041; N22,-123.179103,49.234831
192,50297,Westbound W 41 Ave @ Collingwood St,002; 041; N22,-123.182546,49.234836
193,50298,Dunbar Loop @ Bay 6,007,-123.185234,49.235129
194,50299,Northbound Dunbar St @ W 39 Ave,007,-123.185216,49.236747
195,50300,Northbound Dunbar St @ W 38 Ave,007,-123.185183,49.238112
196,50301,Northbound Dunbar St @ W 36 Ave,007,-123.185157,49.239851
197,50302,Northbound Dunbar St @ W 34 Ave,007,-123.185172,49.241702
198,50303,Northbound Dunbar St @ W 31 Ave,007,-123.185135,49.244597
199,50304,Northbound Dunbar St @ W 30 Ave,007,-123.185125,49.245532
200,50305,Northbound Dunbar St @ W 28 Ave,007,-123.185094,49.247382
201,50307,Northbound Dunbar St @ W King Edward Ave,007; 025,-123.185062,49.250494
202,50308,Northbound Dunbar St @ W 22 Ave,007; 025,-123.18504,49.253177
203,50310,Northbound Dunbar St @ W 18 Ave,007; 025,-123.185003,49.256755
204,50312,Northbound Dunbar Diversion @ W 14 Ave,007,-123.184213,49.260126
205,50313,Northbound Alma St @ W 12 Ave,007,-123.185815,49.261926
206,50314,Northbound Alma St @ W 10 Ave,007; 014; N17,-123.185744,49.263872
207,50315,Eastbound W Broadway @ Alma St,009; 014; N17,-123.185239,49.264278
208,50319,Eastbound W Broadway @ Macdonald St,009; 099; N17,-123.167357,49.263995
209,50320,Eastbound W Broadway @ Trafalgar St,009; N17,-123.164293,49.263906
210,50321,Eastbound W Broadway @ Larch St,009; N17,-123.16196,49.263904
211,50322,Eastbound W Broadway @ Vine St,009; N17,-123.157195,49.263809
212,50323,Eastbound W Broadway @ Arbutus St,009,-123.154253,49.263766
213,50325,Eastbound W Broadway @ Burrard St,009; N17,-123.145163,49.263611
214,50327,Eastbound W Broadway @ Hemlock St,009; N9,-123.134715,49.263448
215,50328,Eastbound W Broadway @ Alder St,009; N9,-123.130979,49.263381
216,50331,Southbound Oak St @ W 12 Ave,017,-123.126842,49.260251
217,50333,Southbound Oak St @ W 16 Ave,017,-123.127351,49.256751
218,50335,Southbound Oak St @ Douglas Cres,017,-123.127471,49.254123
219,50336,Southbound Oak St @ Balfour Ave,017,-123.12759,49.251423
220,50337,Southbound Oak St @ W King Edward Ave,017,-123.127716,49.248653
221,50338,Southbound Oak St @ Nanton Ave,017,-123.127793,49.245988
222,50339,Southbound Oak St @ Devonshire Cres,017,-123.127861,49.244095
223,50341,Southbound Oak St @ W 33 Ave,017,-123.12796,49.241077
224,50342,Southbound Oak St @ W 37 Ave,017,-123.128102,49.237306
225,50347,Eastbound W 4th Ave @ Tolmie St,004; 044; 084,-123.21149,49.268974
226,50349,Eastbound W 4th Ave @ Trimble St,004,-123.2064,49.268907
227,50350,Eastbound W 4th Ave @ 4100 Block,004; 042; 044; 084,-123.197617,49.268679
228,50352,Eastbound W 4th Ave @ Wallace St,004; 042,-123.190183,49.26852
229,50354,Eastbound W 4th Ave @ Alma St,004; 007; 044; 084,-123.185205,49.268538
230,50355,Southbound Alma St @ W 4th Ave,007; 042,-123.18585,49.268214
231,50356,Southbound Alma St @ W 6th Ave,007; 042,-123.185897,49.266642
232,50357,Southbound Alma St @ W 10 Ave,009; 014; 042; 099; N17,-123.186028,49.26367
233,50359,Southbound Alma St @ W 12 Ave,007,-123.186069,49.261267
234,50360,Southbound Dunbar Diversion @ W 14 Ave,007,-123.184374,49.259981
235,50361,Southbound Dunbar St @ W 15 Ave,007,-123.184116,49.258657
236,50362,Southbound Dunbar St @ W 17 Ave,007; 025,-123.185245,49.257067
237,50364,Southbound Dunbar St @ W 21 Ave,007; 025,-123.18526,49.253446
238,50366,Southbound Dunbar St @ W King Edward Ave,007,-123.185302,49.249684
239,50367,Southbound Dunbar St @ W 27 Ave,007,-123.185322,49.247813
240,50368,Southbound Dunbar St @ W 29 Ave,007,-123.185332,49.245928
241,50369,Southbound Dunbar St @ W 31 Ave,007,-123.185351,49.243962
242,50370,Southbound Dunbar St @ W 33 Ave,007,-123.185368,49.242056
243,50371,Southbound Dunbar St @ W 35 Ave,007,-123.185397,49.240149
244,50372,Southbound Dunbar St @ W 37 Ave,007,-123.185425,49.238349
245,50374,Eastbound W 41 Ave @ Collingwood St,002; 041; N22,-123.181639,49.234687
246,50375,Eastbound W 41 Ave @ Blenheim St,002; 041; N22,-123.178303,49.234696
247,50377,Eastbound W 41 Ave @ Carnarvon St,R4,-123.172505,49.234677
